2,2.587689,0.394943,0.537153
4,8.704130,1.673370,2.921334
6,15.660777,1.622439,3.018904
9,32.348365,2.718210,4.957425
10,35.171928,2.133862,2.819217
11,37.135920,0.855225,2.147754
12,38.697045,0.586630,0.822644
15,46.411079,1.226200,4.071106
16,46.529665,3.952521,4.652501
17,49.358846,1.823319,2.228504
19,53.544993,3.205869,3.299750
21,59.415604,4.198983,4.960056
22,59.894195,4.481465,9.099105
23,61.443961,7.549339,11.771220
24,61.791852,11.423329,12.882453
25,62.484089,12.190216,12.527128
26,66.099437,8.911779,9.158278
27,66.371815,8.885901,10.480234
28,66.569101,10.282948,14.532289
29,70.083740,11.017651,11.972863
30,79.969503,2.087100,3.665181
31,81.049722,2.584962,4.282425
32,82.168489,3.163658,4.759719
33,82.635649,4.292559,5.300068
34,85.297285,2.638431,8.729738
35,85.864785,8.162238,10.630326
36,87.986639,8.508473,10.247347
37,88.770932,9.463053,10.584485
38,97.417780,1.937637,3.499073
39,97.880144,3.036709,5.796972
42,106.178951,2.149034,3.453537
43,107.431160,2.201328,2.937377
44,108.571200,1.797337,2.286522
45,109.240937,1.616785,2.410849
55,138.641657,1.571558,5.234157
56,140.433581,3.442232,4.377396
57,140.725885,4.085092,8.561751
58,141.328475,7.959162,12.931034
59,143.374916,10.884592,11.194970
60,147.545080,7.024807,8.634007
61,149.205449,6.973638,7.124647
62,151.386938,4.943157,6.156135
63,151.943213,5.599860,9.633011
64,155.511037,6.065187,6.169812
65,155.741440,5.939408,8.915528
66,156.438700,8.218268,9.821314
67,157.288366,8.971648,12.331749
68,159.890175,9.729940,11.824107
69,164.251669,7.462613,11.607726
70,166.014132,9.845262,11.874150
71,167.619113,10.269170,21.012995
72,169.611872,19.020236,19.976232
73,170.345128,19.242976,19.779964
74,172.374105,17.750987,19.922192
75,172.755642,19.540655,20.751938
76,172.984573,20.523008,21.756518
77,176.965988,17.775104,19.356758
78,185.356621,10.966124,11.209760
79,190.123281,6.443100,11.827681
82,206.873030,1.646758,1.659389
83,207.484436,1.047983,5.139323
84,210.269263,2.354496,6.458899
85,214.946437,1.781726,10.958375
86,215.607917,10.296894,10.695656
87,219.039742,7.263831,11.824338
88,219.397648,11.466431,14.534309
89,233.244449,0.687509,7.972182
90,235.015924,6.200706,6.326850
91,235.045369,6.297405,6.962426
92,238.625421,3.382374,3.739197
93,240.441972,1.922646,4.697448
94,241.506823,3.632597,4.591247
101,266.728942,0.326404,1.549523
102,267.886500,0.391965,10.958237
103,267.985247,10.859490,13.178991
104,270.936471,10.227766,13.434576
105,274.976455,9.394592,13.659748
106,278.729887,9.906317,10.369540
107,283.477692,5.621735,7.224250
108,283.680238,7.021704,12.929036
109,291.167437,5.441836,8.157251
